,xml_link,title,image_href,description,show_link,number_episodes,avg_duration_min,explicit_frequency,birthday,,,zodiac
1,https://feeds.megaphone.fm/PPY8435290482,Scaling Global,"https://megaphone.imgix.net/podcasts/27c61cfa-bf11-11e7-bea6-2fe4bbcdb29a/image/uploads_2F1516132441675-jyx97mpg86c-c9bcdec435dcdbe8e865833b3501ee00_2Fhsbc_redux_tile.jpg?ixlib=rails-4.2.0&max-w=3000&max-h=3000&fit=crop&auto=format,compress","Think you’re ready to set up shop in another country? Think again. In collaboration with HSBC, Slate Studios brings you Scaling Global: real-life accounts of what it takes to expand a business internationally. Join host Christina Wallace in unpacking the issues that dominate the global economic conversation, and hear from business leaders who've found the keys to success on foreign soil.",http://www.business.us.hsbc.com/en/capability/growth,3,23,no,"Tue, 14 Nov 2017 05:00:00 -0000",,,Aries
2,https://www.sermonaudio.com/rss_source.asp?sourceid=cornerstone,Cornerstone Church of Orlando,https://vps.sermonaudio.com/resize_image/broadcasters/albumart/1400/1400/cornerstone.1651003726.jpg,The newest sermons from Cornerstone Baptist Church of Orlando on SermonAudio.,https://www.sermonaudio.com/cornerstone,100,NA,clean,"Mon, 14 Feb 2022 06:35 GMT",,,Leo
3,https://feeds.megaphone.fm/ktsmoneymatters/,KTs Money Matters,"https://megaphone.imgix.net/podcasts/88df72e4-66da-11e9-8226-53b9631350bb/image/uploads_2F1563543097693-lrik1mqsj2-78d5d7fd11999c1af9fcbe1a5e046c1c_2FCSR-KTs-Money-Matters.png?ixlib=rails-4.2.0&max-w=3000&max-h=3000&fit=crop&auto=format,compress","Working with your investments, retirement, insurance, estate or tax planning or just dealing with everyday expenses- your money matters. Let KT Thomas help you make the most of it. This is Money Matters.",https://ktsmoneymatters.com,134,21,no,"Mon, 08 Jan 2018 03:34:00 -0000",,,Sagitarius
4,https://www.omnycontent.com/d/playlist/a7b0bd27-d748-4fbe-ab3b-a6fa0049bcf6/552f0803-6513-4f85-ba4f-ae3c01697922/293fe415-2f19-444e-b0b3-ae3c01697935/podcast.rss,Speedway Soccer,https://www.omnycontent.com/d/playlist/a7b0bd27-d748-4fbe-ab3b-a6fa0049bcf6/552f0803-6513-4f85-ba4f-ae3c01697922/293fe415-2f19-444e-b0b3-ae3c01697935/image.jpg?t=1644875767&size=Large,Nashville's Independent Soccer News,https://speedwaysoccer.podbean.com/,100,48,clean,"Tue, 23 Feb 2021 19:16:59 +0000",,,Cancer
5,https://feeds.feedburner.com/BethanyBaptistChurchSermons,"Bethany Baptist Church, Bellflower CA",NO IMAGE,"Visit us at http://bethanybaptist.church

10010 Somerset Blvd.
Bellflower, CA 90706",http://bethanybaptistbellflower.blogspot.com/,150,NA,no,"Sun, 05 Nov 2017 22:44:00 +0000",,,Scorpio
6,https://feeds.simplecast.com/o3EW0h_r,MARVELS,https://image.simplecastcdn.com/images/d2492694-d063-436f-8585-d9ce71a7f7d0/c7dd811b-73ba-42b0-af08-53d799672804/3000x3000/image.jpg?aid=rss_feed,"Based on the graphic novel by Kurt Busiek and Alex Ross, Marvels takes place in the aftermath of the Fantastic Four’s battle with Galactus, high above New York City for the fate of the world. One intrepid photographer, an ambitious college student, and a cynical journalist embark on an investigation to confirm or debunk one of the most super-powered conspiracy theories of all time.",http://marvelspodcast.com/,12,NA,no,"Tue, 25 Feb 2020 17:00:00 +0000",,,Pisces
7,https://feeds.buzzsprout.com/1569061.rss,Marketing Mambo,https://storage.buzzsprout.com/variants/gzbqvxpuc141ptfyeqecabf4668o/5cfec01b44f3e29fae1fb88ade93fc4aecd05b192fbfbc2c2f1daa412b7c1921.jpg,"Marketing Mambo is a fun and fast-paced conversation with bright and fascinating marketers from around the globe. Join host and long-time marketing executive, Terry McDougall, as she ""cha-cha-chats"" with marketers about their perspectives on the profession as well as their views on trends and issues in the world of marketing. Terry McDougall is an Executive and Career Coach and author of Amazon best-seller Winning the Game of Work: Career Happiness and Success on Your Own Terms. Before becoming a full-time coach, she spent her career as a marketer and still has an enduring passion for all things marketing and works with many leaders in the marketing, advertising and communications fields. For more information about Terry, visit her website at https://www.terrybmcdougall.com or on LinkedIn at https://www.linkedin.com/in/terrybmcdougall. ",https://www.marketingmambo.net,87,37,FALSE,"Wed, 30 Dec 2020 16:00:00 -0600",,,Taurus
8,https://audioboom.com/channels/5030767.rss,Success Is In The Mind with Oliver Bruce,https://images.theabcdn.com/i/40289112.jpg,"A podcast where we speak to founders and entrepreneurs from businesses you’ve always wanted to know more about. We delve into the formative years of their business lives and ask those with the inside track on start-up and scale-up life the questions I wish I knew the answers to when I started out so you should too!

So, when should you raise VC funding? Should founders give all employees equity? And what do the acronyms banded around in boardrooms like SEIS, EIS, TAM and VAT actually mean for you as a founder? We shed light on just how many founders are neurologically diverse and show you how to get through times when the things get tough, as they will...

Hosted by me Oliver Bruce a Dyslexic, Dyspraxic entrepreneur with ADHD my business journey so far really exciting. I have built multi-million-pound businesses, I have invested at Seed and Series A stage and I have launched this podcast now ranked in the top 5% of business podcast globally and guess what, I have loved every minute as I hope you do to!

Recent winners of Campaign Publishing (https://www.campaignlive.co.uk/article/campaign-publishing-awards-2021-podcast-year-%E2%80%93-business-media/1715626) business podcast of the year with judges saying ""This podcast has identified a niche in the market and sets out to inspire the next generation of entrepreneurs honestly and ethically""

To find out more visit http://successpodcast.co.uk",https://www.successpodcast.co.uk/,66,42,no,"Tue, 04 Aug 2020 07:41:00 +0000",,,Virgo
9,https://www.spreaker.com/show/4993862/episodes/feed,Art Sense,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/4e8baf558990deb19c9cadb3b351a6af.jpg,"Art Sense educates and informs listeners about the past, present and future of art. Each week host Craig Gould brings listeners conversations with authors, art historians, curators, museum directors, and contemporary artists which help us answer the questions posited by Paul Gauguin: Where Do We Come From? What Are We? Where Are We Going?",https://canvia.art/blogs/news,92,48,clean,"Tue, 29 Jun 2021 22:22:19 +0000",,,Capricorn
10,https://feed.podbean.com/footnotespodcast/feed.xml,Footnotes: A History Podcast,https://deow9bq0xqvbj.cloudfront.net/image-logo/5498745/Footnotes_Art_V4_COPY_FOR_UPLOAD.jpg,"A History Podcast focusing on forgotten moments, people on the wrong side, and those who lost.",https://footnotespodcast.podbean.com,18,NA,no,"Tue, 23 Jul 2019 12:56:03 -0700",,,Gemini
11,https://feeds.redcircle.com/5b362294-6eb1-4278-bd3f-2d03142d3502,IMPACTCAST - Impacting Your Ears,NO IMAGE,<p>5 Evangelion Instagram Accounts. 1 Podcast. This is &#34;IMPACTCAST&#34;.</p><p>We will talk about everything Neon Genesis Evangelion.</p>,https://redcircle.com/shows/impactcast,2,55,yes,"Fri, 17 Jul 2020 17:30:04 +0000",,,Libra
12,http://podcasts.subsplash.com/c6c0e8f/podcast.rss,Willowbrook Church,NO IMAGE,"Sermons from Willowbrook Churchin Huntsville, AL.",http://www.willowbrook.org,48,46,no,NA,,,Aquarius
13,https://feeds.megaphone.fm/ESP6956274324,Daily Wager,"https://megaphone.imgix.net/podcasts/73347736-7b83-11eb-a55d-e78b36982473/image/3000_20210302203839.jpg?ixlib=rails-4.2.0&max-w=3000&max-h=3000&fit=crop&auto=format,compress","A fast-paced daily companion podcast to ESPN's television show of the same name, featuring many of the same names and voices, plus bonus ""Daily Wager Extra"" episodes around the biggest events and the biggest opportunities on the sports wagering calendar.",http://www.espn.com/espnradio/podcast/,399,15,no,"Wed, 10 Mar 2021 21:22:30 -0000",,,Aries
14,https://media.rss.com/anissadphotography/feed.xml,Photo Tea With Anissa D.,https://media.rss.com/anissadphotography/20221103_011127_05cf8c1b3b01a5f99d1738da6aec19ab.jpg,"Tune in to listen to Anissa spill the tea on all things photography and entrepreneurship related. We'll be covering the tools you need to start and grow a successful photography business every other Thursday. So let's get cozy, grab some tea, and chat all about photography!",https://rss.com/podcasts/anissadphotography,9,30,no,"Thu, 03 Nov 2022 02:54:21 GMT",,,Leo
15,https://feeds.buzzsprout.com/853687.rss,Beyond IPAs,https://storage.buzzsprout.com/variants/r6wor2xx4fg2d4fk6mfc8iq41zo2/60854458c4d1acdf4e1c2f79c4137142d85d78e379bdafbd69bd34c85f5819ad?.jpg,"In Beyond IPAs, we examine the amazing craft brew scene throughout New England. Our aim is to showcase the wonderful breweries that are constantly producing some amazing beer. We hope to help build the craft beer community by sharing what we know about brewing and educating local craft beer fans about what they are drinking. The show is co-hosted Dan Lattuada, an experienced and award winning brewer from Coppertree Brewing, Scott Lussier, a University Professor with a Craft Beer course in Boston and Brian Wonson, a leader in the New England craft beer social scene. Along the way, we'll be joined by special guests of all types. Cheers!",http://www.beyondipas.com,73,47,TRUE,"Mon, 03 Feb 2020 21:00:00 -0500",,,Sagitarius
16,https://feed.podbean.com/talkingdisneypodcast/feed.xml,Talking Disney Podcast,https://deow9bq0xqvbj.cloudfront.net/image-logo/4361288/tdp_new_logo_2021_iuztq6.jpg,"Join Jason, Cody and James on The Talking Disney Podcast where they discuss Disney topics. From theme parks, movies, music, to history, they like to talk about it all.",https://talkingdisneypodcast.podbean.com,115,NA,no,"Mon, 04 Feb 2019 00:23:07 -0700",,,Cancer
17,https://feed.podbean.com/rndmconvos/feed.xml,Random Convos From The Couch,https://deow9bq0xqvbj.cloudfront.net/image-logo/10632360/t0q8x-ua9ab.jpg,"The title speaks for itself... Cody & Karisma T., a young married couple just having random conversations but this time pressing record for the world to hear.",https://rndmconvos.podbean.com,73,NA,yes,"Thu, 07 Jan 2021 18:56:23 -0400",,,Scorpio
18,https://media.rss.com/tragical/feed.xml,Tragical,https://media.rss.com/tragical/20200219_202017_561bc0f0129f19cc9754ff4b3221d365.jpeg,A magical movie recap and review podcast.,https://rss.com/podcasts/tragical,83,55,yes,"Mon, 15 Aug 2022 05:00:22 GMT",,,Pisces
19,https://feed.podbean.com/shoptalktherookie/feed.xml,Shop Talk - The Rookie Podcast,https://deow9bq0xqvbj.cloudfront.net/image-logo/11574444/shop_talk_1400x1400_4zez6x.png,"Shop Talk is the first-ever podcast covering The Rookie, a hit ABC TV Show following the journey of 40 something John Nolan, looking to reinvent himself and try something new. Hosts Jennifer and Kari cover their favorite characters, partnerships/relationships, and more in the first episode.",https://shoptalktherookie.podbean.com,83,NA,yes,"Thu, 08 Apr 2021 22:26:13 -0500",,,Taurus
20,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/e31ad32d-4b37-4202-801b-ae39006db19f/1c352848-893e-483c-9804-ae39006db1ad/podcast.rss,Material World,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/e31ad32d-4b37-4202-801b-ae39006db19f/1c352848-893e-483c-9804-ae39006db1ad/image.jpg?t=1644561565&size=Large,"There's a whole lot of stuff out there to buy. We're talking about all the things you eat, drink, wear and even smoke. Every other week we're going to take a look at one part of the universe of consumable stuff. We'll delve into why we spend our money on these things, the people behind the products -- and why it matters.",https://bloomberg.com/podcasts/material_world,54,21,no,"Mon, 23 May 2016 17:24:25 +0000",,,Virgo
21,https://feed.podbean.com/thenationalnewsmy2020/feed.xml,My 2020,https://deow9bq0xqvbj.cloudfront.net/image-logo/11437839/37350573.jpg,"2020 has been an extraordinary year because of Covid-19. Every aspect of our lives has been affected, as have political, economic and societal norms.

 

My 2020 is a series of conversations with leaders from a number of fields speaking about how their lives - and our world - have changed. From former UK prime minister Tony Blair to Sarah Al Amiri, the woman behind the UAE’s mission to Mars, and Pulitzer Prize-winning author Thomas Friedman, these guests have unparalleled insights.

Intimate and open, this podcast series captures reflections and learning from a truly historic year.",https://thenationalnewsmy2020.podbean.com,8,NA,no,"Mon, 30 Nov 2020 19:30:00 +0400",,,Capricorn
22,https://feeds.megaphone.fm/lifeline,Lifeline,"https://megaphone.imgix.net/podcasts/41983432-95b4-11ec-8951-9ba4e34e9b13/image/LIFELINE-KeyA.jpg?ixlib=rails-4.3.1&max-w=3000&max-h=3000&fit=crop&auto=format,compress","Hosted by brothers Chris & Matt D’Elia, Lifeline is an advice show for problems of all shapes and sizes— from the petty to the painful. Whether it be about sex, family, money, the meaning of life, or anything else you have questions about— Chris & Matt got you covered.",http://www.watchlifeline.com,51,64,yes,"Fri, 25 Feb 2022 23:07:00 -0000",,,Gemini
23,http://www.blogtalkradio.com/foodcast/podcast,Karma Sense Foodcast,https://dasg7xwmldix6.cloudfront.net/hostpics/ed083d7a-8b77-446b-b943-d2cce08b00b8_karmasensefoodcastcoverart.jpg,"The world of health and nutrition is ridiculous. Wild health claims about the latest ""superfood."" Crazy new products designed to push your buttons. Let's have some fun and explore this foolishness together.",http://www.blogtalkradio.com/foodcast,44,NA,no,"Thu, 07 Jul 2016 18:30:00 GMT",,,Libra
24,https://feeds.transistor.fm/teaching-reading-and-learning-the-reading-league-podcast,"Teaching, Reading, and Learning: The Reading League Podcast",https://images.transistor.fm/file/transistor/images/show/14472/full_1600997293-artwork.jpg,"Teaching, Reading & Learning: The Podcast elevates important contributions to the educational community, with the goal of inspiring teachers, informing practice, and celebrating people in the community who have influenced teaching and literacy to the betterment of children. The podcast features guests whose life stories are compelling and rich in ways that are instructive to us all.  The podcast focuses on literacy as we know it (reading and writing) but will also connect to other “literacies” that impact children’s learning; for example, emotional, physical, and social literacies as they apply to teachers and children. ",https://www.thereadingleague.org/,22,64,No,"Mon, 26 Oct 2020 18:39:08 -0400",,,Aquarius
25,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/8317c406-21df-47d1-8683-ae280172b35e/537548d1-1ab8-48db-9a44-ae280172b371/podcast.rss,Armstrong & Getty One More Thing,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/8317c406-21df-47d1-8683-ae280172b35e/537548d1-1ab8-48db-9a44-ae280172b371/image.jpg?t=1643149785&size=Large,"Armstrong and Getty cover the rest of the stories not covered during the regular broadcast. This non-broadcast, podcast-exclusive is uncensored (mostly), unregulated (absolutely) and unheard by the higher-ups (or so we think).",https://www.iheart.com/podcast/64-Armstrong-Getty-One-More-Th-30416018,822,11,no,"Tue, 15 Jan 2019 01:02:14 +0000",,,NA
26,https://feeds.megaphone.fm/noborderblues,No Border Blues,"https://megaphone.imgix.net/podcasts/efd1831e-0802-11eb-a458-1b4bc9ac56c8/image/uploads_2F1608950975493-hyolndi96d-a6c0a8a8e92ed1c6f55c917433dcfbab_2FNo%2BBorder%2BBluesPODCAST%2B1500x2.png?ixlib=rails-4.3.1&max-w=3000&max-h=3000&fit=crop&auto=format,compress","Take a blues journey with No Border Blues, the only blues podcast focused on international blues artists and hidden blues scenes around the world. Delmark recording artist Johnny Burgin and producer Stephanie Tice will shine a spotlight on notable international blues performers, discuss the blues scenes in their home countries, and present intimate and exclusive musical performances. Sponsored by Chicago Blues Network, bringing Chicago Blues to the world. noborderblues.com - chicagobluesnetwork.com - johnnyburgin.com",https://rockinjohnnyburgin.com/no-border-blues-podcast/,22,35,no,"Tue, 22 Dec 2020 10:00:00 -0000",,,NA
27,https://www.latrobe.edu.au/marketing/assets/podcasts/rssfeeds/ast1ici.xml,Introduction to China,http://www.latrobe.edu.au/marketing/assets/podcasts/images/podcast-ast1ici.jpg,"In this subject students are introduced to China. The lectures are tied together by several common themes, including China’s incredible geographic, ethnic and cultural diversity, it’s dual exceptionalist and wounded nationalism, and the Deng Xiaoping-era social bargain between the Communist Party and the Chinese people based on improving living standards in exchange for acquiescence to one-party rule.",http://www.latrobe.edu.au,6,NA,no,"Tue, 30 Jul 2013 11:30:26 +1000",,,NA
